Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Silty Loam,11.00%,120,22,89,948 mm,Odisha,Rabi,"['Mustard', 'Pulses']"
Silty Loam,13.00%,38,33,89,458 mm,West Bengal,Rabi,"['Pulses', 'Mustard']"
Sandy Loam,45.00%,42,68,24,928 mm,West Bengal,Zaid,"['Chickpea', 'Cotton']"
Sandy Loam,14.00%,90,79,101,977 mm,West Bengal,Zaid,['Groundnut']
Sandy Loam,47.00%,66,48,66,861 mm,Karnataka,Kharif,"['Chickpea', 'Groundnut']"
Silty Loam,14.00%,30,77,81,1088 mm,West Bengal,Rabi,"['Pulses', 'Vegetables']"
Sandy Loam,19.00%,55,58,46,904 mm,Odisha,Zaid,"['Groundnut', 'Chickpea']"
Silty Loam,14.00%,83,46,47,342 mm,Odisha,Kharif,"['Mustard', 'Vegetables', 'Pulses']"
Loamy,18.00%,107,89,105,821 mm,West Bengal,Zaid,['Barley']
Sandy Loam,16.00%,68,85,26,1117 mm,Tamil Nadu,Rabi,['Groundnut']
Sandy Loam,43.00%,99,39,30,1115 mm,Karnataka,Zaid,"['Cotton', 'Chickpea', 'Groundnut']"
Loamy,14.00%,64,66,59,781 mm,Karnataka,Zaid,"['Maize', 'Barley', 'Wheat']"
Loamy,41.00%,74,47,56,1166 mm,Andhra Pradesh,Zaid,['Maize']
Black Cotton Soil,47.00%,117,29,73,745 mm,Odisha,Zaid,"['Cotton', 'Sorghum']"
Silty Loam,52.00%,48,32,88,909 mm,Maharashtra,Rabi,['Pulses']
Loamy,53.00%,39,46,53,1042 mm,West Bengal,Zaid,"['Wheat', 'Maize', 'Barley']"
Loamy,29.00%,71,45,56,765 mm,Maharashtra,Kharif,"['Maize', 'Barley']"
Silty Loam,56.00%,110,66,101,523 mm,Maharashtra,Rabi,['Pulses']
Sandy Loam,53.00%,104,38,98,948 mm,Tamil Nadu,Zaid,"['Cotton', 'Groundnut']"
Loamy,49.00%,114,86,47,1006 mm,Andhra Pradesh,Zaid,"['Maize', 'Wheat', 'Barley']"
Clayey,45.00%,43,38,32,609 mm,Tamil Nadu,Kharif,"['Rice', 'Sugarcane']"
Sandy Loam,59.00%,74,90,30,796 mm,Maharashtra,Kharif,"['Groundnut', 'Chickpea']"
Loamy,40.00%,93,24,56,375 mm,Tamil Nadu,Zaid,"['Barley', 'Maize']"
